iteration,profile,site_mode,start_time,end_time,extracted_wpm,computed_wpm,extracted_accuracy,keystrokes_count,json_file
1,human_like,standard,2025-12-02T10:14:53.258985Z,2025-12-02T10:15:07.905579Z,13.0,82.78159467787287,13.0,58,run_20251202T101507_iter1.json
1,human_like,standard,2025-12-02T10:20:42.115580Z,2025-12-02T10:20:57.855470Z,9.0,85.20733378574013,9.0,63,run_20251202T102057_iter1.json
2,human_like,standard,2025-12-02T10:20:59.918397Z,2025-12-02T10:21:16.195167Z,7.0,85.29654619662941,7.0,74,run_20251202T102116_iter2.json
3,human_like,standard,2025-12-02T10:21:18.003675Z,2025-12-02T10:21:31.274895Z,14.0,85.50151999888959,14.0,41,run_20251202T102131_iter3.json
4,human_like,standard,2025-12-02T10:21:33.126314Z,2025-12-02T10:21:50.297306Z,1.0,81.6600999128307,1.0,68,run_20251202T102150_iter4.json
5,human_like,standard,2025-12-02T10:21:52.103518Z,2025-12-02T10:22:06.723195Z,1.0,86.72306294603044,1.0,70,run_20251202T102206_iter5.json
6,human_like,standard,2025-12-02T10:22:08.504344Z,2025-12-02T10:22:20.227816Z,12.0,100.03115743650976,12.0,50,run_20251202T102220_iter6.json
7,human_like,standard,2025-12-02T10:22:22.040518Z,2025-12-02T10:22:36.284501Z,3.0,83.8174847018254,3.0,62,run_20251202T102236_iter7.json
8,human_like,standard,2025-12-02T10:22:38.053839Z,2025-12-02T10:22:51.772730Z,9.0,85.12166481534939,9.0,55,run_20251202T102251_iter8.json
9,human_like,standard,2025-12-02T10:22:53.601135Z,2025-12-02T10:23:07.054092Z,7.0,91.59538839096788,7.0,50,run_20251202T102307_iter9.json
10,human_like,standard,2025-12-02T10:23:08.834068Z,2025-12-02T10:23:21.059693Z,7.0,87.80318848967667,7.0,52,run_20251202T102321_iter10.json
11,human_like,standard,2025-12-02T10:23:22.868308Z,2025-12-02T10:23:36.060946Z,9.0,79.1735361063168,9.0,43,run_20251202T102336_iter11.json
12,human_like,standard,2025-12-02T10:23:37.872138Z,2025-12-02T10:23:51.627995Z,12.0,87.76017695275954,12.0,52,run_20251202T102351_iter12.json
13,human_like,standard,2025-12-02T10:23:53.434853Z,2025-12-02T10:24:08.517891Z,6.0,80.27199359378235,6.0,67,run_20251202T102408_iter13.json
14,human_like,standard,2025-12-02T10:24:10.324676Z,2025-12-02T10:24:25.638631Z,4.0,92.71648605244013,4.0,60,run_20251202T102425_iter14.json
15,human_like,standard,2025-12-02T10:24:27.407977Z,2025-12-02T10:24:39.395608Z,7.0,85.95089792749908,7.0,49,run_20251202T102439_iter15.json
16,human_like,standard,2025-12-02T10:24:41.196441Z,2025-12-02T10:24:53.092711Z,6.0,88.76491290096492,6.0,51,run_20251202T102453_iter16.json
17,human_like,standard,2025-12-02T10:24:54.852724Z,2025-12-02T10:25:12.166289Z,10.0,82.44038877356509,10.0,74,run_20251202T102512_iter17.json
18,human_like,standard,2025-12-02T10:25:13.944932Z,2025-12-02T10:25:25.997943Z,12.0,103.67952997232,12.0,40,run_20251202T102525_iter18.json
19,human_like,standard,2025-12-02T10:25:27.825750Z,2025-12-02T10:25:42.856524Z,8.0,91.906405600285,8.0,67,run_20251202T102542_iter19.json
20,human_like,standard,2025-12-02T10:25:44.693507Z,2025-12-02T10:25:56.850871Z,13.0,85.16905156291105,13.0,53,run_20251202T102556_iter20.json
1,bot_obvious,standard,2025-12-02T10:47:15.740217Z,2025-12-02T10:47:21.729265Z,24.0,683.9939071711024,24.0,47,run_20251202T104721_iter1.json
2,bot_obvious,standard,2025-12-02T10:47:23.323098Z,2025-12-02T10:47:30.627056Z,60.0,613.9724488959331,60.0,43,run_20251202T104730_iter2.json
3,bot_obvious,standard,2025-12-02T10:47:32.110815Z,2025-12-02T10:47:39.746345Z,24.0,621.4719747912649,24.0,55,run_20251202T104739_iter3.json
4,bot_obvious,standard,2025-12-02T10:47:41.154470Z,2025-12-02T10:47:48.575806Z,24.0,587.5196747861673,24.0,47,run_20251202T104748_iter4.json
5,bot_obvious,standard,2025-12-02T10:47:50.105998Z,2025-12-02T10:47:57.496425Z,18.0,677.9107598675778,18.0,58,run_20251202T104757_iter5.json
6,bot_obvious,standard,2025-12-02T10:47:58.920540Z,2025-12-02T10:48:06.159719Z,96.0,600.1820581533938,96.0,41,run_20251202T104806_iter6.json
7,bot_obvious,standard,2025-12-02T10:48:07.524801Z,2025-12-02T10:48:14.995170Z,35.0,673.4667258385722,35.0,48,run_20251202T104814_iter7.json
8,bot_obvious,standard,2025-12-02T10:48:16.455055Z,2025-12-02T10:48:25.284902Z,60.0,753.9258351803791,60.0,65,run_20251202T104825_iter8.json
9,bot_obvious,standard,2025-12-02T10:48:26.701677Z,2025-12-02T10:48:33.976114Z,95.0,772.5252744589584,95.0,57,run_20251202T104833_iter9.json
10,bot_obvious,standard,2025-12-02T10:48:35.374514Z,2025-12-02T10:48:42.849486Z,60.0,760.6870649374631,60.0,55,run_20251202T104842_iter10.json
11,bot_obvious,standard,2025-12-02T10:48:44.260963Z,2025-12-02T10:48:51.741699Z,30.0,648.0938314736659,30.0,59,run_20251202T104851_iter11.json
12,bot_obvious,standard,2025-12-02T10:48:53.207157Z,2025-12-02T10:49:00.696818Z,48.0,665.1016362187207,48.0,57,run_20251202T104900_iter12.json
13,bot_obvious,standard,2025-12-02T10:49:02.202531Z,2025-12-02T10:49:09.523247Z,107.0,629.5920857207904,107.0,45,run_20251202T104909_iter13.json
14,bot_obvious,standard,2025-12-02T10:49:10.896166Z,2025-12-02T10:49:18.703719Z,36.0,623.0294872622546,36.0,65,run_20251202T104918_iter14.json
15,bot_obvious,standard,2025-12-02T10:49:20.114564Z,2025-12-02T10:49:27.613951Z,36.0,648.3964054329413,36.0,58,run_20251202T104927_iter15.json
16,bot_obvious,standard,2025-12-02T10:49:29.043427Z,2025-12-02T10:49:36.621502Z,42.0,573.7794675072247,42.0,54,run_20251202T104936_iter16.json
17,bot_obvious,standard,2025-12-02T10:49:38.078462Z,2025-12-02T10:49:46.014296Z,12.0,654.8893425821879,12.0,77,run_20251202T104946_iter17.json
18,bot_obvious,standard,2025-12-02T10:49:47.480740Z,2025-12-02T10:49:55.080390Z,24.0,609.9071867171647,24.0,55,run_20251202T104955_iter18.json
19,bot_obvious,standard,2025-12-02T10:49:56.496077Z,2025-12-02T10:50:03.742526Z,24.0,694.1271636204546,24.0,47,run_20251202T105003_iter19.json
20,bot_obvious,standard,2025-12-02T10:50:05.319998Z,2025-12-02T10:50:13.666876Z,54.0,479.3225958814253,54.0,62,run_20251202T105013_iter20.json
1,human_like,standard,2025-12-02T11:02:46.647071Z,2025-12-02T11:03:03.283845Z,84.61490043004716,84.61490043004716,,73,run_20251202T110303_iter1.json
1,human_like,standard,2025-12-02T12:07:53.930883Z,2025-12-02T12:08:10.345890Z,5.0,84.83936731156238,5.0,58,run_20251202T120810_iter1.json
1,human_like,standard,2025-12-02T12:08:51.730312Z,2025-12-02T12:09:06.702218Z,3.0,78.38662707377672,3.0,57,run_20251202T120906_iter1.json
1,bot_obvious,standard,2025-12-02T12:11:04.375732Z,2025-12-02T12:11:12.980116Z,59.0,678.381279872648,30.0,55,run_20251202T121112_iter1.json
1,human_like,standard,2025-12-02T15:59:40.978974Z,2025-12-02T15:59:56.300120Z,13.0,84.37439399275326,13.0,50,run_20251202T155956_iter1.json
1,superhuman,standard,2025-12-02T16:01:41.788398Z,2025-12-02T16:01:51.030199Z,24.0,889.9831470375251,24.0,64,run_20251202T160151_iter1.json
2,superhuman,standard,2025-12-02T16:01:52.867377Z,2025-12-02T16:02:00.439420Z,106.0,900.2788215134491,106.0,45,run_20251202T160200_iter2.json
3,superhuman,standard,2025-12-02T16:02:02.113938Z,2025-12-02T16:02:11.157655Z,71.0,896.2250244988784,71.0,59,run_20251202T160211_iter3.json
4,superhuman,standard,2025-12-02T16:02:13.352759Z,2025-12-02T16:02:22.634924Z,71.0,918.6547550763459,71.0,54,run_20251202T160222_iter4.json
